,rates,mfcc,filter_bank,fraud,mfcc_mean,fbank_mean
0,44100,"[ 20.02713192 -36.69658757 -50.22971298 ... -12.84051353  -0.17140692
 -10.75800932]","[ 6.92246865  7.12716411  7.56521254 ...  9.59486966 10.80785304
 10.20928218]",0,1.3140902389659246,10.211413545690549
1,44100,"[17.46001887  2.38411932  3.17481417 ... -5.61294213  5.31405845
  0.63048207]","[13.72721213 16.22214367 15.10184883 ...  6.22899172  7.33732132
  6.16833227]",0,0.868829257923791,9.524642480053286
2,44100,"[ 16.98136051   5.34407933  -5.31252093 ... -19.71269361 -13.40042979
 -10.77340099]","[12.07318147 15.15146006 13.93509289 ...  8.42512861  8.51074927
  8.95150585]",0,1.0174352766468557,10.507374864684444
3,44100,"[ 16.37771638   7.95538117  -6.58175753 ... -33.64468441  -1.67029317
  -4.99921367]","[13.91210283 15.1009944  14.11457379 ... 13.65783451 14.13541444
 13.71189361]",0,1.0301227107505997,10.474759845891352
4,44100,"[ 18.27100325  12.91715681   8.38690373 ...  -6.4394245  -27.28860633
   6.28559356]","[13.58798956 15.579767   17.62023302 ...  4.92420791  7.31724898
  8.07973909]",0,0.9703164426461887,10.311564202982005
5,44100,"[ 18.40388867   7.11215248  -9.73335089 ... -12.76565329   1.47165725
   0.08691024]","[15.05780218 15.04010788 15.11960219 ... 15.95062781 17.6604989
 17.5177197 ]",0,1.2900298938915322,11.781621051717607
6,44100,"[ 17.40480423  10.12327656  -4.71224162 ...  -0.49103286  -9.41816698
 -11.65803408]","[13.88147828 15.45878655 15.53091147 ...  9.02994952 11.78983555
 11.16550689]",0,1.489674850518631,10.43031850205748
7,44100,"[ 16.75083575  -0.08193175  -0.43422908 ...  -0.12967306 -11.37718649
 -12.72378055]","[12.49224893 16.29319361 12.69778689 ... 14.06416366 17.01573917
 15.86537709]",0,1.5734254778787595,8.940164490767136
8,44100,"[15.96936916  3.52615185 -5.82808751 ... -8.50981936 -7.5823186
 -2.47775846]","[12.24660785 13.39135962 13.02402674 ... 10.11627537 12.13315394
 11.38999671]",0,0.8936980596702605,9.864243081164783
9,44100,"[ 15.39768878  18.02497892   7.03244438 ...   6.18735136 -10.15827312
 -16.39887149]","[12.0933883  13.56452548 14.69639757 ...  6.10624405  6.51634048
  8.02373374]",0,1.760024152918915,9.682676424833186
10,44100,"[ 13.63416687  -0.15487962 -25.68221517 ... -18.0547022   11.34028579
 -25.15856749]","[ 4.93982047  5.8389225   5.90630675 ... 11.8116679  12.50329298
 12.59264973]",0,1.1842157361412728,11.062967223708226
11,44100,"[ 16.57842215  19.60086463  -0.15243131 ... -52.43064303  17.42118006
 -15.68115187]","[12.98840482 13.81699508 14.82907635 ...  9.88002438 11.22946265
 11.06582865]",0,2.263939647964312,9.28931559062229
12,44100,"[ 17.87702058  30.20357662  10.60143979 ... -10.22453513  -2.88289321
  -8.21276893]","[13.22008922 14.2227121  16.41790441 ...  7.17442688  8.59163722
  6.91128756]",0,2.12983953836512,9.519017375749224
13,44100,"[ 15.6655776    8.75151919  -0.35522427 ... -15.52842577  -4.19220335
   4.39088006]","[13.18448449 14.51390335 12.74844847 ...  3.75068107  5.46480311
  5.97909948]",0,2.3749877520490057,7.7200402458659845
14,44100,"[ 16.18099727  31.48792372   5.09013918 ... -35.45423728 -16.81117922
 -17.23595908]","[12.19962817 13.53989499 14.75835832 ... 10.06632323 11.22942265
 10.4139874 ]",0,0.0684145965011944,9.839583850091937
15,44100,"[ 13.72214584   1.41060039 -12.79913799 ... -15.6230358   -6.37827314
   2.93874855]","[11.53235018 10.41576876  7.83397683 ... 10.41600039 10.1741544
 10.4103735 ]",0,1.320837252101529,10.01863689506376
16,44100,"[ 16.95005251   1.7745784   -0.5869765  ... -37.12636755   9.48876553
 -22.98102065]","[13.41593543 15.9316495  14.5297844  ... 10.5163941  11.01540353
  9.25613113]",0,1.2920619493612402,10.499718904164776
17,44100,"[ 16.516102    10.10133099  -2.15105422 ...  21.33610247 -17.41229529
 -42.80607479]","[11.68322268 13.05966115 15.03226061 ...  9.12530981 11.58022354
 10.96666046]",0,2.0488591433762777,9.475246233906145
18,44100,"[ 12.80440971   6.20911121   1.04220468 ... -15.14220834 -18.32476478
 -19.58076323]","[11.18800018 11.40156212  9.96211298 ...  9.60017669 11.02368331
  8.70258061]",0,1.145284306145884,9.627119284534665
19,44100,"[14.91165235  0.32099348  0.83003626 ... -6.98959442 -7.88913774
  8.58795772]","[11.27055184 12.74808393 13.16790012 ...  3.8317474   6.11622067
  5.69043171]",0,1.6426527542076121,8.084167161552372
20,44100,"[ 12.60227163   4.0556657  -21.6811144  ... -11.65406521  26.19270014
  -7.1191678 ]","[ 4.46954058  6.03626704  7.25415051 ... 11.07899554 12.17002045
 11.67004838]",0,0.7698320055944043,11.129343184107546
21,44100,"[ 15.59720504  11.32874048  16.04576745 ... -27.45684102 -13.1591394
  -2.22735148]","[12.17088991 14.02786819 14.80039916 ...  9.0545208  10.24298728
 10.41048225]",0,1.1543932975462186,10.48505850940988
22,44100,"[ 17.76995209   3.95370778  -3.49071239 ... -24.49258069  -9.69933056
 -38.49078551]","[15.58248155 16.09128715 15.37522586 ...  8.98771677  9.82510296
  9.29899493]",0,2.1683659391039587,10.781182218937465
23,44100,"[ 15.05764279  -0.99607834 -21.30313337 ...  11.44070088  11.4460468
   3.32399456]","[10.7997974  11.57562333  9.22273433 ...  4.25018522  8.60345803
  9.30053317]",0,2.858085119836622,9.641631399168181
24,44100,"[ 12.92190486   9.76086984 -27.91226355 ...  -3.22728467  -7.39857011
  -8.97991169]",[7.58114672 7.65355084 6.51499073 ... 8.7975401  9.52207114 8.34254351],0,2.0172737254903375,10.82165656724732
25,44100,"[ 15.97837501  -1.67155726 -36.5305324  ... -19.92998882   1.5444569
 -19.84308943]","[ 7.58805136  9.82452086  9.17618143 ... 11.18439811 12.23660091
 10.90080605]",0,-0.15784104450058703,9.667173436109232
26,44100,"[ 13.8575401   12.10818588  -3.79390112 ... -22.84873523 -13.75816971
  -3.05351794]","[11.26665742 11.59619778 11.92356371 ... 15.77923676 16.73016427
 14.41587582]",0,0.7476911326726304,9.349237918473161
27,44100,"[ 19.98231323 -29.07908111 -38.6373979  ... -33.74621747 -36.53035487
 -18.97705452]","[ 7.69557492  7.23979176  9.24281008 ... 10.42178427 11.99507729
 10.84545534]",0,2.450228914798508,9.791313901262203
28,44100,"[ 16.10931149  15.13428594  -7.7323181  ... -39.80186235   7.23171439
  -7.06303088]","[12.72045347 13.80094017 14.03617037 ...  9.61098789  9.07016387
 10.37003959]",0,0.5980848291683489,10.730249032311677
29,44100,"[12.33868725  6.34815705  6.19887274 ... -8.34811662 -3.58596411
 -9.04606159]","[11.26356229 10.36533235  9.18188167 ...  7.87608251 11.42359564
 11.0332006 ]",0,0.362286085295554,10.056594545890716
30,44100,"[ 16.6168534  -12.58302964 -29.65891387 ... -10.09896545   1.26643346
  -1.31240516]",[8.21928599 9.24239574 9.45889788 ... 6.94773536 8.033502   6.27983457],0,0.5452727441410482,10.061235690467301
31,44100,"[ 17.72921195   6.81203552  -2.3213784  ... -52.48962643  -4.92899078
   6.91750815]","[15.31473413 16.51826845 15.46327412 ... 10.87969638 10.9583066
 11.45132118]",0,1.6551138627864792,10.389932016845483
32,44100,"[ 20.16124123 -31.03992065 -39.65775656 ...  -4.16087143 -26.85237006
  -3.85019397]",[8.49313123 8.43618619 8.92970724 ... 5.77037284 8.34813993 9.50949253],0,2.0955413397887854,9.832355132875655
33,44100,"[16.14847257  5.08752422 -8.46424281 ... -5.01624452  6.08261772
  3.81457092]","[13.4540801  14.62613555 12.81609333 ...  5.3512693   6.64642526
  5.79421385]",0,2.070848041986707,9.949094593995401
34,44100,"[ 17.69263125   2.87076572 -30.31573105 ... -22.19240443  -6.04925204
  -9.50288614]","[ 8.60698198 12.29325658 12.45155075 ...  9.67595902 10.60217116
  9.83367563]",0,2.0514331282738123,10.11116392527108
35,44100,"[ 15.88407082   8.3463841   -9.22120135 ... -15.07857376  -9.87686802
   5.75777399]","[13.5274708  15.00848472 13.38815063 ...  7.96110243  8.20715814
  9.0197394 ]",0,-0.2263031801969758,10.522759175093912
36,44100,"[ 17.32190986  14.0158252    7.27347139 ... -43.08728285   7.3967298
  20.22874631]","[13.71743391 15.01095118 16.29423979 ... 10.586572   11.51539998
 11.08385363]",0,1.941240277097708,10.145702311635864
37,44100,"[ 12.89496847   6.59291133  -9.68875517 ... -40.94980991 -17.81091956
  -1.34644919]","[ 7.56957961  9.30730459 10.230411   ... 10.04782552 10.73691545
  9.60287318]",0,2.2406455560672165,9.751690351638972
38,44100,"[ 14.9429556   17.72200862  -1.08958488 ... -20.11521891   1.13890094
 -23.27597832]","[12.55824043 13.0891205  11.57452626 ... 11.03481265 12.71981606
 11.80322046]",0,0.5667101359315282,11.17264436278715
39,44100,"[ 15.19231295   2.14932268   3.02404209 ...  -4.7619058   -2.84944262
 -10.51200115]","[13.39211569 14.23540362 12.50223848 ...  9.75097007 11.74661767
 11.37754157]",0,3.680262044052312,10.321888556262849
40,44100,"[  6.39068004 -38.79714742 -16.71336179 ... -28.3272373   -3.41624794
   0.47115077]","[-5.84943951 -5.32480018 -5.12695111 ...  9.16197155  9.23952704
  7.23039902]",0,0.399046185144121,9.826442607910929
41,44100,"[13.50076698 -2.84775054 -5.62578865 ... 11.76223268  5.11220035
 -3.86263495]","[11.38339159 10.77474263  8.94423918 ...  9.83433775 12.4498667
 11.01674896]",0,1.6023148454249896,10.544382760551619
42,44100,"[ 12.12684624  -1.92962012  -5.23079387 ... -50.31900076   4.13248444
   5.68502962]","[ 7.18984584  9.43748252  9.34219094 ... 11.46036312 11.30590494
 10.64854306]",0,0.32206793141080775,9.792274335120565
43,44100,"[ 16.73085839   4.94382277  -6.76190724 ...  -9.66001308 -14.86958757
  -7.05093399]","[12.30725803 16.02324304 11.39902167 ...  8.62847735 10.48731088
 10.25141475]",0,1.1078655679076583,9.339594747316452
44,44100,"[ 14.24664067   6.59099836 -38.54757455 ...  -8.49845059  -2.86049599
  -7.72936543]","[ 5.57352021  5.79319826  5.96492362 ...  9.64659401 11.76336961
 11.38717825]",0,1.698254865916963,10.473327766650536
45,44100,"[ 15.8708427   19.66350162  13.86692773 ... -34.70731566 -18.34567136
 -19.59995   ]","[12.16147956 13.58522567 14.78337427 ... 10.73358469 12.02679934
 11.35199892]",0,0.7672371490866718,9.82249371861581
46,44100,"[ 17.41879581   2.06653854  -0.55336626 ...  -8.24923177 -13.2771132
 -13.2250517 ]","[14.30676295 15.55919533 15.07579349 ... 11.08044733 12.64478779
 11.84587197]",0,0.09938898739981862,9.954040987688678
47,44100,"[ 18.19585113 -15.50129617 -34.74803825 ... -32.15328975   2.11300517
 -27.86988057]","[10.4614805  11.3579823  11.34957741 ... 10.64570699 11.25822264
  9.60175643]",0,0.21093736945233732,10.637808543546644
48,44100,"[ 15.17510701   3.58637455  -6.23902008 ... -13.0573712    8.40832701
  -9.5324238 ]","[12.24534418 13.23343995 12.96247944 ... 10.43700012 11.95611734
 11.22455394]",0,1.3845060332575039,10.66107295465243
49,44100,"[ 13.71965885   0.63326132  -3.80684716 ... -32.474242    12.74705188
 -20.29813387]","[ 8.46502922 10.50709154 11.33951028 ...  9.43361235 10.12943694
  8.92848704]",0,2.4136828796610854,10.731723969585712
50,44100,"[ 13.54087575  -4.04767511  -7.2211807  ... -22.31217941  17.6144832
 -22.6722134 ]","[10.5590087  10.01032904  9.33901268 ... 12.19581697 13.58347901
 12.51382491]",0,2.2063378197084274,9.417332246375386
51,44100,"[ 16.79437793   7.85678313   4.25442489 ... -10.12170261  -5.27387795
  -5.3946575 ]","[13.67864019 14.82488525 15.70876958 ... 10.92983518 12.67750554
 11.74999044]",0,0.7019368088435476,9.840778521900162
52,44100,"[ 19.96499212 -16.85416393 -36.50620065 ...   4.66136944   0.39904652
 -12.4005069 ]","[ 9.89642016 10.29879798 11.25845519 ...  7.8808263   8.1732485
  9.20356761]",0,1.5266010570711528,8.736343467426453
53,44100,"[ 18.16600611  10.41312443   2.21604902 ... -22.4695846   -5.57503712
 -30.79910696]","[14.1335985  15.68990678 17.70167495 ... 12.01587451 13.91105637
 13.01820956]",0,2.6608698884271234,10.03946221997291
54,44100,"[ 10.1626887    5.27447205 -19.5296971  ...   7.38909856  -9.58127527
   4.84557456]",[5.58923518 4.96643381 5.30579938 ... 3.78530848 4.96864673 7.98826316],0,0.5778474405760774,9.683816472985043
55,44100,"[ 10.90567938   5.31464444  -8.27963944 ... -14.06167557  20.49172577
  -6.87396702]",[7.906845   7.5049105  6.90427413 ... 7.8637694  8.31007236 7.31620437],0,2.0266752451214365,10.021380056497016
56,44100,"[18.60611184  0.98005458 -1.8229544  ... -2.16659151 11.05238605
  3.96818665]","[14.06639168 17.56712634 14.5351635  ...  7.71586577  9.43343749
  8.76280873]",0,2.981918993422612,10.093666964122518
57,44100,"[ 10.77694483   0.53965976 -13.43552863 ... -10.53358722  -2.4115265
  -3.40484965]",[5.96941703 5.68374526 6.74408722 ... 7.16787273 8.98798726 8.88814674],0,1.2831593279996876,9.36633921461823
58,44100,"[ 16.56092928   4.72168219   5.25548094 ... -12.23585124  -2.12821525
  -3.79983872]","[13.70428554 15.65680739 14.60535952 ... 16.60796841 17.83934286
 15.91286706]",0,1.0608344898694546,9.792533715762815
59,44100,"[ 15.43047576   3.46921861  -2.09169417 ... -23.8514485    2.01417352
  -0.96971074]","[13.2630516  13.19721532 13.70426285 ...  7.85743795  9.52818512
  9.23563178]",0,1.857787527409565,10.057841153618721
60,44100,"[ 14.89573621  -7.19080688 -32.96275024 ... -28.93966828 -18.455572
  15.45047175]","[ 6.63825254  6.9324827   7.06529575 ...  6.75686301  8.61214881
 10.06460503]",0,0.8124205855265374,10.536453488388664
61,44100,"[ 17.49751527  16.83646546  12.2420054  ... -45.35168941 -21.33617581
 -16.60053597]","[13.73832998 15.5831074  16.97396226 ... 10.38411151 11.69411176
 10.917689  ]",0,2.1651152627480252,9.865040651235823
